date,transaction_id,item_id,item_name,item_category,item_brand,quantity,item_revenue,source_medium,device_category,is_banner_product
20250210,T-20250210-00144,2328,Lava-Louças LG Smart,Eletrodomésticos,LG,1,3385.53,facebook / paid,desktop,0
20250112,T-20250112-00104,2500,Geladeira Panasonic Inverter Frost Free 431L Preto,Eletrodomésticos,Panasonic,2,2691.11,google / organic,desktop,0
20250206,T-20250206-00045,1329,Ventilador de Torre Samsung Crystal 40cm Inox,Climatização,Samsung,1,4653.4,google / cpc,mobile,0
20250112,T-20250112-00023,1049,Ventilador de Torre LG Dual Inverter Voice 40cm Preto,Climatização,LG,1,3062.72,google / organic,mobile,0
20250224,T-20250224-00056,1391,Cortina de Ar Samsung Bespoke 90cm Grafite,Climatização,Samsung,1,3237.56,(direct) / (none),(not set),0
20250107,T-20250107-00187,3194,Fone de Ouvido AOC Roku TV Gamer com Microfone Grafite,"TV, Áudio e Vídeo",AOC,1,1917.34,(direct) / (none),mobile,0
20250226,T-20250226-00273,2318,Micro-ondas LG ThinQ 30L Inox,Eletrodomésticos,LG,1,2724.06,google / cpc,(not set),0
20250124,T-20250124-00240,3969,Saco de Pancada Gallant Elite 100cm Grafite 220V,Esporte e Lazer,Gallant,1,1220.25,google / cpc,mobile,0
20250126,T-20250126-00023,1607,Cortina de Ar Philco Smart,Climatização,Philco,1,1387.08,instagram / paid,desktop,0
20250103,T-20250103-00141,3550,Esteira Elétrica Gallant Force até 14km/h Cinza,Esporte e Lazer,Gallant,1,1382.45,google / cpc,desktop,0
20250123,T-20250123-00194,1193,Desumidificador LG Art Cool 20L/dia Branco 110V,Climatização,LG,1,3193.07,(direct) / (none),desktop,0
20250214,T-20250214-00158,4490,"Rack para TV Caemmun Elegance até 50"" Branco",Móveis,Caemmun,1,1385.27,google / organic,mobile,0
20250110,T-20250110-00306,4341,Estante Casatema Dubai 3 Prateleiras Inox,Móveis,Casatema,1,1310.72,google / cpc,desktop,0
20250123,T-20250123-00006,1023,Aquecedor Elétrico LG,Climatização,LG,1,2651.67,email / crm,mobile,0
20250104,T-20250104-00074,4012,Mesa de Ping Pong Kikos Pro MDF 18mm Dobrável Grafite,Esporte e Lazer,Kikos,1,1799.85,referral / parceiros,mobile,0
20250116,T-20250116-00240,5650,"Serra Circular Bosch GBH 1400W 7 1/4"" Grafite",Ferramentas,Bosch,1,501.05,google / organic,desktop,0
20250118,T-20250118-00055,2138,Micro-ondas Electrolux Pure i9 34L Grafite,Eletrodomésticos,Electrolux,1,820.04,google / cpc,desktop,0
20250111,T-20250111-00159,4396,Mesa de Jantar Artely Cleo 4 Cadeiras Inox,Móveis,Artely,1,606.32,google / cpc,desktop,0
20250220,T-20250220-00077,1784,Desumidificador Britânia Air 12L/dia Branco,Climatização,Britânia,1,285.87,(direct) / (none),mobile,0
20250102,T-20250102-00018,1204,Ventilador de Coluna LG ThinQ 50cm Inox Bivolt,Climatização,LG,1,2902.04,google / cpc,mobile,0
20250122,T-20250122-00120,1354,Cortina de Ar Samsung EcoBubble 90cm Preto,Climatização,Samsung,1,4735.42,(direct) / (none),mobile,0
20250214,T-20250214-00136,2865,Soundbar Philco PTV 500W 5.1,"TV, Áudio e Vídeo",Philco,1,854.55,email / crm,desktop,0
20250121,T-20250121-00132,1819,Freezer Horizontal Brastemp Ative! 300L Inox,Eletrodomésticos,Brastemp,1,2442.34,(direct) / (none),mobile,0
20250217,T-20250217-00024,1192,Cortina de Ar LG Smart 120cm Prata,Climatização,LG,2,5860.09,google / cpc,mobile,0
20250228,T-20250228-00220,2448,Lava-Louças Samsung Digital Inverter 14 Serviços Prata,Eletrodomésticos,Samsung,1,898.65,instagram / paid,desktop,0
20250119,T-20250119-00041,1873,Fogão Brastemp Ative! 6 Bocas Preto,Eletrodomésticos,Brastemp,1,1069.02,instagram / paid,tablet,0
20250131,T-20250131-00159,1001,Ar Condicionado Split LG Art Cool 24000 BTUs Frio Grafite,Climatização,LG,1,1834.72,email / crm,desktop,0
20250110,T-20250110-00033,1168,Desumidificador LG ThinQ 12L/dia Grafite,Climatização,LG,1,3863.07,facebook / paid,mobile,0
