nome_produto_banner,posicao_banner,data_inicio,data_fim,categoria_informada,item_id_final,nome_produto_catalog_final,categoria_final,match_type,match_score,matched,banner_key
Mesa de Jantar Linea Brasil Adonai 4 Cadeiras Branco,4,2025-02-15,2025-02-28,Móveis,4267,Mesa de Jantar Linea Brasil Adonai 4 Cadeiras Branco,Móveis,exact,100,True,
Panela Eletrica de Pressao Britania Turbo 4L Inox,5,2025-01-15,2025-01-29,Utilidades Domésticas,4891,Panela Elétrica de Pressão Britânia Turbo 4L Inox,Utilidades Domésticas,exact,100,True,
Fone de Ouvido Philco Hit Bluetooth In-Ear Grafite,5,2025-02-01,2025-02-08,"TV, Áudio e Vídeo",2808,Fone de Ouvido Philco Hit Bluetooth In-Ear Grafite,"TV, Áudio e Vídeo",exact,100,True,
Sofa Artely Treviso 3 Lugares Cinza,5,2025-02-08,2025-02-15,Móveis,4397,Sofá Artely Treviso 3 Lugares Cinza,Móveis,exact,100,True,
PURIFICADOR DE AR PHILCO ECO INVERTER HEPA ATÉ 40M² PRATA,3,2025-02-08,2025-02-22,Climatizacao,1605,Purificador de Ar Philco Eco Inverter HEPA até 40m² Prata,Climatização,exact,100,True,
Piscina Inflavel Gallant Extreme 5000L Estrutural Grafite 110V,3,2025-02-08,2025-02-22,Esporte e Lazer,3794,Piscina Inflável Gallant Extreme 5000L Estrutural Grafite 110V,Esporte e Lazer,exact,100,True,
VENTILADOR DE COLUNA LG THINQ 60CM TURBO PRETO,1,2025-02-01,2025-02-15,Climatizacao,1252,Ventilador de Coluna LG ThinQ 60cm Turbo Preto,Climatização,exact,100,True,
Piscina Inflavel Gallant Force 2000L,5,2025-01-01,2025-01-08,Esporte e Lazer,3509,Piscina Inflável Gallant Force 2000L,Esporte e Lazer,exact,100,True,
Freezer Vertical Brastemp Gourmand 142L,4,2025-02-08,2025-02-15,,1807,Freezer Vertical Brastemp Gourmand 142L,Eletrodomésticos,exact,100,True,
AQUECEDOR ELÉTRICO MIDEA XTREME SAVE 2000W GRAFITE,5,2025-02-08,2025-02-22,,1414,Aquecedor Elétrico Midea Xtreme Save 2000W Grafite,Climatização,exact,100,True,
Lixadeira Orbital Tramontina Smart 200W Grafite,5,2025-01-22,2025-01-29,Ferramentas,5837,Lixadeira Orbital Tramontina Smart 200W Grafite,Ferramentas,exact,100,True,
Cortina de Ar LG Dual Inverter 150cm Grafite,5,2025-02-15,2025-02-22,Climatização,1245,Cortina de Ar LG Dual Inverter 150cm Grafite,Climatização,exact,100,True,
Fita LED Philips Walita 10m Smart Wi-Fi Inox,5,2025-02-08,2025-02-22,Iluminação,5363,Fita LED Philips Walita 10m Smart Wi-Fi Inox,Iluminação,exact,100,True,
Geladeira Samsung Evolution Frost Free 431L Inox,3,2025-02-15,2025-02-28,Eletrodomésticos,2411,Geladeira Samsung Evolution Frost Free 431L Inox,Eletrodomésticos,exact,100,True,
Caixa de Som Bluetooth AOC Roku TV 100W Party Cinza,3,2025-01-22,2025-01-29,"TV, Áudio e Vídeo",3232,Caixa de Som Bluetooth AOC Roku TV 100W Party Cinza,"TV, Áudio e Vídeo",exact,100,True,
Desumidificador Electrolux Pure i9 12L/dia Cinza,4,2025-02-08,2025-02-22,Climatização,1744,Desumidificador Electrolux Pure i9 12L/dia Cinza,Climatização,exact,100,True,
Micro-ondas LG Dual Inverter Voice 20L Grafite,5,2025-01-22,2025-02-12,,2294,Micro-ondas LG Dual Inverter Voice 20L Grafite,Eletrodomésticos,exact,100,True,
SOUNDBAR LG NEOCHEF 500W 5.1 PRETO,2,2025-01-08,2025-01-15,"TV, Áudio e Vídeo",3104,Soundbar LG NeoChef 500W 5.1 Preto,"TV, Áudio e Vídeo",exact,100,True,
FREEZER VERTICAL BRITÂNIA MEGA 142L INOX,2,2025-02-15,2025-02-28,Eletrodomésticos,2667,Freezer Vertical Britânia Mega 142L Inox,Eletrodomésticos,exact,100,True,
