item_id,sku,nome_produto,categoria,marca,preco,url_produto,status_url,voltagem,data_cadastro
3179,SKU-TVA-00380,Home Theater AOC Smart 5.1 500W Prata,"TV, Áudio e Vídeo",AOC,804.83,https://www.lojaficticia.com.br/produto/home-theater-aoc-smart-5.1-500w-prata,ativo,Bivolt,2024-07-28
2994,SKU-TVA-00195,"Smart TV Samsung EcoBubble 65"" 4K Preto","TV, Áudio e Vídeo",Samsung,2433.99,"https://www.lojaficticia.com.br/produto/smart-tv-samsung-ecobubble-65""-4k-preto",ativo,110V,2024-10-06
2481,SKU-ELE-00682,Máquina de Lavar Samsung Evolution 10kg Prata,Eletrodomésticos,Samsung,2092.45,https://www.lojaficticia.com.br/produto/maquina-de-lavar-samsung-evolution-10kg-prata,ativo,110V,2024-02-11
2052,SKU-ELE-00253,Micro-ondas Electrolux Pure i9 30L Preto,Eletrodomésticos,Electrolux,996.35,https://www.lojaficticia.com.br/produto/micro-ondas-electrolux-pure-i9-30l-preto,ativo,220V,2024-02-25
1621,SKU-CLI-00622,Ar Condicionado Split Philco PTV 30000 BTUs Frio Cinza,Climatização,Philco,1369.65,https://www.lojaficticia.com.br/produto/ar-condicionado-split-philco-ptv-30000-btus-frio-cinza,ativo,220V,2024-10-21
3820,SKU-ESP-00421,"Cama Elástica Gallant Pro 1,40m Branco 110V",Esporte e Lazer,Gallant,1357.42,"https://www.lojaficticia.com.br/produto/cama-elastica-gallant-pro-1,40m-branco-110v",ativo,110V,2024-04-01
3408,SKU-ESP-00009,Banco de Supino Gallant Elite Inclinado Inox,Esporte e Lazer,Gallant,354.5,https://www.lojaficticia.com.br/produto/banco-de-supino-gallant-elite-inclinado-inox,ativo,220V,2024-04-29
4225,SKU-MOV-00126,Estante Linea Brasil Adonai 5 Prateleiras Inox,Móveis,Linea Brasil,985.21,https://www.lojaficticia.com.br/produto/estante-linea-brasil-adonai-5-prateleiras-inox,ativo,110V,2024-08-20
1070,SKU-CLI-00071,Cortina de Ar LG Smart 90cm Inox,Climatização,LG,4393.74,https://www.lojaficticia.com.br/produto/cortina-de-ar-lg-smart-90cm-inox,ativo,110V,2024-07-18
5145,SKU-UTD-00446,Liquidificador Mallory Delfino 1200W Turbo Cinza,Utilidades Domésticas,Mallory,102.52,https://www.lojaficticia.com.br/produto/liquidificador-mallory-delfino-1200w-turbo-cinza,ativo,Bivolt,2024-04-30
5342,SKU-ILU-00143,Lustre Pendente Philips Smart LED 1 Lâmpada Branco,Iluminação,Philips,48.95,https://www.lojaficticia.com.br/produto/lustre-pendente-philips-smart-led-1-lampada-branco,ativo,Bivolt,2024-09-11
3321,SKU-TVA-00522,Caixa de Som Bluetooth JBL Tune 100W Party Preto,"TV, Áudio e Vídeo",JBL,578.89,https://www.lojaficticia.com.br/produto/caixa-de-som-bluetooth-jbl-tune-100w-party-preto,ativo,220V,2024-10-05
3896,SKU-ESP-00497,Churrasqueira Gallant Extreme Bafo Inox Prata,Esporte e Lazer,Gallant,244.79,https://www.lojaficticia.com.br/produto/churrasqueira-gallant-extreme-bafo-inox-prata,ativo,110V,2024-01-10
5777,SKU-FER-00178,Serra Tico-Tico Makita LXT 500W Prata,Ferramentas,Makita,411.32,https://www.lojaficticia.com.br/produto/serra-tico-tico-makita-lxt-500w-prata,ativo,110V,2024-01-07
4265,SKU-MOV-00166,Estante Linea Brasil Adonai com Portas Prata,Móveis,Linea Brasil,761.91,https://www.lojaficticia.com.br/produto/estante-linea-brasil-adonai-com-portas-prata,ativo,Bivolt,2024-07-24
3030,SKU-TVA-00231,Caixa de Som Bluetooth Samsung WindFree 50W Portátil Branco,"TV, Áudio e Vídeo",Samsung,4748.34,https://www.lojaficticia.com.br/produto/caixa-de-som-bluetooth-samsung-windfree-50w-portatil-branco,ativo,110V,2024-03-16
1495,SKU-CLI-00496,Ar Condicionado Portátil Midea Vizi 14000 BTUs Preto,Climatização,Midea,1536.07,https://www.lojaficticia.com.br/produto/ar-condicionado-portatil-midea-vizi-14000-btus-preto,erro_404,Bivolt,2024-04-15
5276,SKU-ILU-00077,Plafon Taschibra LED LED 18W Redondo Grafite,Iluminação,Taschibra,41.48,https://www.lojaficticia.com.br/produto/plafon-taschibra-led-led-18w-redondo-grafite,ativo,110V,2024-03-25
5542,SKU-ILU-00343,Poste Solar Tramontina Master com Sensor 2m Branco,Iluminação,Tramontina,104.61,https://www.lojaficticia.com.br/produto/poste-solar-tramontina-master-com-sensor-2m-branco,ativo,110V,2024-09-28
1920,SKU-ELE-00121,Aspirador de Pó Brastemp Ative! 1600W Cinza,Eletrodomésticos,Brastemp,1183.01,https://www.lojaficticia.com.br/produto/aspirador-de-po-brastemp-ative!-1600w-cinza,ativo,220V,2024-06-08
1414,SKU-CLI-00415,Aquecedor Elétrico Midea Xtreme Save 2000W Grafite,Climatização,Midea,2908.31,https://www.lojaficticia.com.br/produto/aquecedor-eletrico-midea-xtreme-save-2000w-grafite,ativo,220V,2024-11-06
1077,SKU-CLI-00078,Cortina de Ar LG Art Cool 90cm Inox,Climatização,LG,2041.39,https://www.lojaficticia.com.br/produto/cortina-de-ar-lg-art-cool-90cm-inox,ativo,220V,2024-04-29
5603,SKU-FER-00004,Compressor de Ar Bosch GBH 2HP 50L,Ferramentas,Bosch,210.83,https://www.lojaficticia.com.br/produto/compressor-de-ar-bosch-gbh-2hp-50l,ativo,220V,2024-12-02
2764,SKU-ELE-00965,Geladeira Arno Power Max Side by Side 602L Prata,Eletrodomésticos,Arno,470.39,https://www.lojaficticia.com.br/produto/geladeira-arno-power-max-side-by-side-602l-prata,ativo,Bivolt,2024-09-06
3900,SKU-ESP-00501,Saco de Pancada Gallant Pro 120cm com Luvas Prata Bivolt,Esporte e Lazer,Gallant,330.46,https://www.lojaficticia.com.br/produto/saco-de-pancada-gallant-pro-120cm-com-luvas-prata-bivolt,ativo,Bivolt,2024-11-02
1999,SKU-ELE-00200,Geladeira Electrolux Essential Duplex 450L,Eletrodomésticos,Electrolux,1369.49,https://www.lojaficticia.com.br/produto/geladeira-electrolux-essential-duplex-450l,ativo,110V,2024-02-26
1180,SKU-CLI-00181,Desumidificador LG NeoChef 12L/dia Branco,Climatização,LG,3689.74,https://www.lojaficticia.com.br/produto/desumidificador-lg-neochef-12l-dia-branco,ativo,110V,2024-11-21
4124,SKU-MOV-00025,Guarda-Roupa Madesa Dakota 6 Portas Preto,Móveis,Madesa,1555.05,https://www.lojaficticia.com.br/produto/guarda-roupa-madesa-dakota-6-portas-preto,ativo,Bivolt,2024-10-13
5771,SKU-FER-00172,Lixadeira Orbital Makita LXT de Cinta 720W Cinza,Ferramentas,Makita,404.3,https://www.lojaficticia.com.br/produto/lixadeira-orbital-makita-lxt-de-cinta-720w-cinza,ativo,220V,2024-09-16
1119,SKU-CLI-00120,Ventilador de Coluna LG Smart 40cm,Climatização,LG,2969.41,https://www.lojaficticia.com.br/produto/ventilador-de-coluna-lg-smart-40cm,ativo,110V,2024-05-03
2551,SKU-ELE-00752,Lava-Louças Panasonic Flash Dry 8 Serviços Grafite,Eletrodomésticos,Panasonic,965.03,https://www.lojaficticia.com.br/produto/lava-loucas-panasonic-flash-dry-8-servicos-grafite,ativo,110V,2024-08-27
