item_id,nome_produto_banner,categoria_final,pedidos,receita_produto,itens_vendidos,ticket_medio
1157,Climatizador de Ar LG NeoChef,Climatização,9,30721.79,9,3413.532222222222
1176,Purificador de Ar LG Smart HEPA ate 40m2 Grafite,Climatização,8,26230.29,8,3278.78625
1414,AQUECEDOR ELÉTRICO MIDEA XTREME SAVE 2000W GRAFITE,Climatização,8,23923.600000000002,8,2990.4500000000003
1744,Desumidificador Electrolux Pure i9 12L/dia Cinza,Climatização,10,18279.010000000002,11,1827.9010000000003
3104,SOUNDBAR LG NEOCHEF 500W 5.1 PRETO,"TV, Áudio e Vídeo",2,17828.38,4,8914.19
1245,Cortina de Ar LG Dual Inverter 150cm Grafite,Climatização,5,16230.3,5,3246.06
2294,Micro-ondas LG Dual Inverter Voice 20L Grafite,Eletrodomésticos,5,13917.630000000001,5,2783.5260000000003
2984,Projetor Digital Samsung Inverter Full HD 3500 Lumens Preto,"TV, Áudio e Vídeo",3,12024.19,3,4008.0633333333335
1807,Freezer Vertical Brastemp Gourmand 142L,Eletrodomésticos,3,9820.02,3,3273.34
1605,PURIFICADOR DE AR PHILCO ECO INVERTER HEPA ATÉ 40M² PRATA,Climatização,6,8109.33,7,1351.555
1252,VENTILADOR DE COLUNA LG THINQ 60CM TURBO PRETO,Climatização,4,7898.42,4,1974.605
3509,Piscina Inflavel Gallant Force 2000L,Esporte e Lazer,3,6096.32,4,2032.1066666666666
3668,Eletrica Esteira Gallant Combat ate,Esporte e Lazer,4,5260.0199999999995,5,1315.0049999999999
4397,Sofa Artely Treviso 3 Lugares Cinza,Móveis,3,4724.83,4,1574.9433333333334
1858,GELADEIRA ATIVE! BRASTEMP DUPLEX 362L,Eletrodomésticos,3,4722.98,3,1574.3266666666666
4267,Mesa de Jantar Linea Brasil Adonai 4 Cadeiras Branco,Móveis,2,4223.8,3,2111.9
3379,DE CAIXA SOM BLUETOOTH PHILIPS HUE 100W PARTY INOX,"TV, Áudio e Vídeo",3,3586.19,5,1195.3966666666668
2411,Geladeira Samsung Evolution Frost Free 431L Inox,Eletrodomésticos,3,3547.6099999999997,3,1182.5366666666666
3672,DE MESA PING PONG GALLANT EXTREME MDF 18MM DOBRÁVEL,Esporte e Lazer,3,3505.16,4,1168.3866666666665
4504,Sofá Caemmun Lord Canto 5,Móveis,3,2152.66,3,717.5533333333333
3232,Caixa de Som Bluetooth AOC Roku TV 100W Party Cinza,"TV, Áudio e Vídeo",2,1592.3600000000001,2,796.1800000000001
2667,FREEZER VERTICAL BRITÂNIA MEGA 142L INOX,Eletrodomésticos,2,1326.24,3,663.12
2785,Lavar de Máquina Arno Deluxe 8kg Preto,Eletrodomésticos,4,1294.5700000000002,4,323.64250000000004
3794,Piscina Inflavel Gallant Extreme 5000L Estrutural Grafite 110V,Esporte e Lazer,3,1159.79,4,386.59666666666664
2808,Fone de Ouvido Philco Hit Bluetooth In-Ear Grafite,"TV, Áudio e Vídeo",1,1101.47,1,1101.47
5363,Fita LED Philips Walita 10m Smart Wi-Fi Inox,Iluminação,2,799.39,3,399.695
5837,Lixadeira Orbital Tramontina Smart 200W Grafite,Ferramentas,3,555.35,3,185.11666666666667
4891,Panela Eletrica de Pressao Britania Turbo 4L Inox,Utilidades Domésticas,1,524.0,2,524.0
5133,Grill Elet. Mallory Delfino Churrasqueira Elet. 1800W Preto,Utilidades Domésticas,3,478.58000000000004,5,159.52666666666667
