order_id_vtex,transaction_id_ga4,date,item_id,sku,nome_produto_vtex,categoria,marca,quantidade,receita_produto,frete,receita_total,forma_pagamento,status_pedido,cupom_aplicado
ORD-20250130-00039,T-20250130-00039,2025-01-30,1332,SKU-CLI-00333,Purificador de Ar Samsung WindFree até 50m² Prata,Climatização,Samsung,1,4534.37,0.0,4534.37,credit_card,faturado,
ORD-20250122-00385,T-20250122-00385,2025-01-22,5263,SKU-ILU-00064,Plafon Taschibra Cristal LED 18W Redondo Cinza,Iluminação,Taschibra,1,110.78,72.81,183.59,credit_card,entregue,
ORD-20250101-X0429,,2025-01-01,3538,SKU-ESP-00139,Mesa de Ping Pong Gallant Force Oficial 25mm Inox,Esporte e Lazer,Gallant,1,1072.14,0.0,1072.14,boleto,faturado,
ORD-20250112-00009,T-20250112-00009,2025-01-12,1057,SKU-CLI-00058,Ventilador de Coluna LG ThinQ 50cm Prata,Climatização,LG,1,4072.8,0.0,4072.8,pix,faturado,SIM
ORD-20250102-00202,T-20250102-00202,2025-01-02,4490,SKU-MOV-00391,"Rack para TV Caemmun Elegance até 50"" Branco",Móveis,Caemmun,1,1386.03,0.0,1386.03,credit_card,faturado,
ORD-20250108-00200,T-20250108-00200,2025-01-08,3885,SKU-ESP-00486,Churrasqueira Gallant Combat Portátil a Carvão Branco Bivolt,Esporte e Lazer,Gallant,1,546.42,0.0,546.42,credit_card,faturado,
ORD-20250227-00003,T-20250227-00003,2025-02-27,1502,SKU-CLI-00503,Cortina de Ar Elgin Hi-Wall 120cm Cinza,Climatização,Elgin,1,2742.64,43.23,2785.87,pix,faturado,
ORD-20250109-00226,T-20250109-00226,2025-01-09,3614,SKU-ESP-00215,Mesa de Ping Pong Gallant Elite MDF 18mm Dobrável Cinza Bivolt,Esporte e Lazer,Gallant,1,411.24,0.0,411.24,credit_card,faturado,
ORD-20250228-00081,T-20250228-00081,2025-02-28,1225,SKU-CLI-00226,Desumidificador LG Dual Inverter Voice 12L/dia Grafite,Climatização,LG,2,3562.36,0.0,3562.36,credit_card,faturado,
ORD-20250225-00068,T-20250225-00068,2025-02-25,1375,SKU-CLI-00376,Ar Condicionado Split Samsung Crystal 30000 BTUs Frio Inox,Climatização,Samsung,2,4483.22,0.0,4483.22,pix,faturado,
ORD-20250227-00352,T-20250227-00352,2025-02-27,5399,SKU-ILU-00200,Luminária de Piso Avant Slim Arco Preto,Iluminação,Avant,1,108.18,87.93,196.11,credit_card,cancelado,
ORD-20250212-00246,T-20250212-00246,2025-02-12,3266,SKU-TVA-00467,Caixa de Som Bluetooth TCL Mini LED 20W Branco,"TV, Áudio e Vídeo",TCL,1,743.7,0.0,743.7,credit_card,devolvido,
ORD-20250225-00348,T-20250225-00348,2025-02-25,3720,SKU-ESP-00321,Bicicleta Ergométrica Gallant Pro Spinning,Esporte e Lazer,Gallant,1,745.57,28.28,773.85,credit_card,faturado,
ORD-20250131-00050,T-20250131-00050,2025-01-31,1041,SKU-CLI-00042,Cortina de Ar LG ThinQ 120cm Inox,Climatização,LG,3,7056.34,0.0,7056.34,boleto,entregue,
ORD-20250116-00244,T-20250116-00244,2025-01-16,5896,SKU-FER-00297,"Serra Circular Vonder Plus 1400W 7 1/4"" Grafite",Ferramentas,Vonder,1,44.01,71.88,115.89,credit_card,faturado,
ORD-20250205-00101,T-20250205-00101,2025-02-05,2347,SKU-ELE-00548,Lava e Seca LG Dual Inverter Voice 10kg/7kg Grafite,Eletrodomésticos,LG,1,1976.37,0.0,1976.37,credit_card,faturado,
ORD-20250122-00040,T-20250122-00040,2025-01-22,1363,SKU-CLI-00364,Cortina de Ar Samsung Digital Inverter 120cm Branco,Climatização,Samsung,1,5157.74,0.0,5157.74,credit_card,devolvido,
ORD-20250224-00262,T-20250224-00262,2025-02-24,3517,SKU-ESP-00118,Esteira Elétrica Gallant Pro até 12km/h Grafite,Esporte e Lazer,Gallant,1,1023.8,0.0,1023.8,credit_card,cancelado,
ORD-20250226-00186,T-20250226-00186,2025-02-26,1264,SKU-CLI-00265,Cortina de Ar LG Dual Inverter 90cm Cinza,Climatização,LG,1,3272.23,0.0,3272.23,credit_card,faturado,
ORD-20250211-X0311,,2025-02-11,5120,SKU-UTD-00421,Liquidificador Cadence Pratic 1200W Turbo Prata,Utilidades Domésticas,Cadence,2,629.52,0.0,629.52,credit_card,faturado,
ORD-20250130-00183,T-20250130-00183,2025-01-30,1712,SKU-CLI-00713,Ventilador de Coluna Springer Air Plus 50cm Preto,Climatização,Springer,1,1363.25,44.19,1407.44,pix,faturado,
ORD-20250224-00229,T-20250224-00229,2025-02-24,2642,SKU-ELE-00843,Forno Elétrico Philco PH800 44L Branco,Eletrodomésticos,Philco,1,549.15,0.0,549.15,credit_card,faturado,
ORD-20250212-00370,T-20250212-00370,2025-02-12,5364,SKU-ILU-00165,Fita LED Philips Smart LED 10m Smart Wi-Fi,Iluminação,Philips,1,40.46,64.45,104.91,pix,faturado,
